# photonCat                   mean_change    sigma_change    rate_change
diphotonCat 0
proc ggh
EElowR9_7TeVsmear             0.0000     0.0026     0.0003    
EEhighR9_7TeVsmear            0.0000     0.0049     0.0004    
MaterialEBCentral_scale       0.0004     0.0045     0.0004    
MaterialEBOuterEE_scale       0.0006     0.0046     0.0003    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 1
proc zh
EBlowR9_7TeVscale             0.0002     0.0050     0.0004    
EBhighR9_7TeVscale            0.0003     0.0064     0.0003    
EElowR9_7TeVscale             0.0000     0.0004     0.0001    
EEhighR9_7TeVscale            0.0001     0.0021     0.0005    
EBlowR9_7TeVsmear             0.0000     0.0153     0.0009    
EBhighR9_7TeVsmear            0.0000     0.0369     0.0011    
EBlowR9Phi_7TeVsmear          0.0000     0.0085     0.0004    
EBhighR9Phi_7TeVsmear         0.0000     0.0094     0.0005    
EElowR9_7TeVsmear             0.0000     0.0015     0.0002    
EEhighR9_7TeVsmear            0.0000     0.0035     0.0005    
MaterialEBCentral_scale       0.0004     0.0112     0.0002    
MaterialEBOuterEE_scale       0.0005     0.0054     0.0018    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 1
proc tth
EBlowR9_7TeVscale             0.0002     0.0063     0.0016    
EBhighR9_7TeVscale            0.0004     0.0072     0.0011    
EElowR9_7TeVscale             0.0000     0.0009     0.0005    
EEhighR9_7TeVscale            0.0001     0.0048     0.0012    
EBlowR9_7TeVsmear             0.0001     0.0144     0.0016    
EBhighR9_7TeVsmear            0.0001     0.0293     0.0005    
EBlowR9Phi_7TeVsmear          0.0001     0.0099     0.0011    
EBhighR9Phi_7TeVsmear         0.0000     0.0105     0.0011    
EElowR9_7TeVsmear             0.0000     0.0012     0.0005    
EEhighR9_7TeVsmear            0.0000     0.0048     0.0000    
MaterialEBCentral_scale       0.0003     0.0082     0.0020    
MaterialEBOuterEE_scale       0.0006     0.0112     0.0009    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000


diphotonCat 2
proc ggh
EBlowR9_7TeVscale             0.0003     0.0030     0.0001    
EBhighR9_7TeVscale            0.0003     0.0029     0.0001    
EElowR9_7TeVscale             0.0001     0.0007     0.0003    
EEhighR9_7TeVscale            0.0002     0.0031     0.0004    
EBlowR9_7TeVsmear             0.0000     0.0110     0.0003    
EBhighR9_7TeVsmear            0.0000     0.0203     0.0006    
EBlowR9Phi_7TeVsmear          0.0000     0.0048     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0049     0.0001    
EElowR9_7TeVsmear             0.0000     0.0038     0.0005    
EEhighR9_7TeVsmear            0.0000     0.0089     0.0004    
MaterialEBCentral_scale       0.0003     0.0017     0.0003    
MaterialEBOuterEE_scale       0.0008     0.0025     0.0003    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 2
proc vbf
EBlowR9_7TeVscale             0.0003     0.0038     0.0003    
EBhighR9_7TeVscale            0.0002     0.0028     0.0000    
EElowR9_7TeVscale             0.0001     0.0023     0.0008    
EEhighR9_7TeVscale            0.0004     0.0017     0.0015    
EBlowR9_7TeVsmear             0.0000     0.0129     0.0006    
EBhighR9_7TeVsmear            0.0000     0.0148     0.0007    
EBlowR9Phi_7TeVsmear          0.0000     0.0053     0.0001    
EBhighR9Phi_7TeVsmear         0.0000     0.0010     0.0005    
EElowR9_7TeVsmear             0.0000     0.0047     0.0004    
EEhighR9_7TeVsmear            0.0000     0.0117     0.0013    
MaterialEBCentral_scale       0.0003     0.0026     0.0001    
