# photonCat                   mean_change    sigma_change    rate_change
diphotonCat 0
proc ggh
EBlowR9_8TeVscale             0.0000     0.0003     0.0000    
EBhighR9_8TeVscale            0.0005     0.0032     0.0002    
EElowR9_8TeVscale             0.0000     0.0000     0.0000    
EEhighR9_8TeVscale            0.0000     0.0000     0.0000    
EBlowR9_8TeVsmear             0.0000     0.0014     0.0000    
EBhighR9_8TeVsmear            0.0000     0.0285     0.0001    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0012     0.0000    
EElowR9_8TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_8TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0004     0.0013     0.0003    
MaterialEBOuterEE_scale       0.0004     0.0035     0.0002    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 0
proc vbf
EBlowR9_8TeVscale             0.0000     0.0014     0.0000    
EBhighR9_8TeVscale            0.0005     0.0035     0.0002    
EElowR9_8TeVscale             0.0000     0.0000     0.0000    
EEhighR9_8TeVscale            0.0000     0.0000     0.0000    
EBlowR9_8TeVsmear             0.0000     0.0015     0.0000    
EBhighR9_8TeVsmear            0.0000     0.0248     0.0002    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0013     0.0000    
EElowR9_8TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_8TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0004     0.0033     0.0000    
MaterialEBOuterEE_scale       0.0004     0.0105     0.0002    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 0
proc wh
EBlowR9_8TeVscale             0.0000     0.0006     0.0000    
EBhighR9_8TeVscale            0.0005     0.0070     0.0002    
EElowR9_8TeVscale             0.0000     0.0000     0.0000    
EEhighR9_8TeVscale            0.0000     0.0000     0.0000    
EBlowR9_8TeVsmear             0.0000     0.0013     0.0000    
EBhighR9_8TeVsmear            0.0000     0.0364     0.0003    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0026     0.0000    
EElowR9_8TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_8TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0004     0.0045     0.0003    
MaterialEBOuterEE_scale       0.0004     0.0060     0.0005    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 0
proc zh
EBlowR9_8TeVscale             0.0000     0.0003     0.0000    
EBhighR9_8TeVscale            0.0005     0.0060     0.0002    
EElowR9_8TeVscale             0.0000     0.0000     0.0000    
EEhighR9_8TeVscale            0.0000     0.0000     0.0000    
EBlowR9_8TeVsmear             0.0000     0.0009     0.0000    
EBhighR9_8TeVsmear            0.0001     0.0285     0.0003    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0032     0.0000    
EElowR9_8TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_8TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0004     0.0089     0.0005    
MaterialEBOuterEE_scale       0.0004     0.0085     0.0005    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 0
proc tth
EBlowR9_8TeVscale             0.0000     0.0008     0.0001    
EBhighR9_8TeVscale            0.0005     0.0038     0.0003    
EElowR9_8TeVscale             0.0000     0.0000     0.0000    
EEhighR9_8TeVscale            0.0000     0.0000     0.0000    
