# photonCat                   mean_change    sigma_change    rate_change
diphotonCat 0
proc ggh
EBlowR9_8TeVscale             0.0002     0.0027     0.0001    
EBhighR9_8TeVscale            0.0004     0.0127     0.0003    
EElowR9_8TeVscale             0.0000     0.0003     0.0000    
EEhighR9_8TeVscale            0.0000     0.0015     0.0004    
EBlowR9_8TeVsmear             0.0000     0.0052     0.0002    
EBhighR9_8TeVsmear            0.0000     0.0159     0.0006    
EBlowR9Phi_8TeVsmear          0.0000     0.0005     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0027     0.0001    
EElowR9_8TeVsmear             0.0000     0.0004     0.0000    
EEhighR9_8TeVsmear            0.0000     0.0008     0.0001    
MaterialEBCentral_scale       0.0004     0.0112     0.0003    
MaterialEBOuterEE_scale       0.0003     0.0063     0.0007    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 0
proc vbf
EBlowR9_8TeVscale             0.0002     0.0051     0.0006    
EBhighR9_8TeVscale            0.0004     0.0068     0.0005    
EElowR9_8TeVscale             0.0000     0.0000     0.0000    
EEhighR9_8TeVscale            0.0000     0.0027     0.0001    
EBlowR9_8TeVsmear             0.0000     0.0083     0.0006    
EBhighR9_8TeVsmear            0.0000     0.0221     0.0009    
EBlowR9Phi_8TeVsmear          0.0000     0.0006     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0039     0.0000    
EElowR9_8TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_8TeVsmear            0.0000     0.0015     0.0011    
MaterialEBCentral_scale       0.0004     0.0083     0.0006    
MaterialEBOuterEE_scale       0.0002     0.0076     0.0006    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 0
proc wh
EBlowR9_8TeVscale             0.0002     0.0046     0.0006    
EBhighR9_8TeVscale            0.0004     0.0115     0.0003    
EElowR9_8TeVscale             0.0000     0.0003     0.0000    
EEhighR9_8TeVscale            0.0000     0.0015     0.0006    
EBlowR9_8TeVsmear             0.0000     0.0108     0.0006    
EBhighR9_8TeVsmear            0.0000     0.0257     0.0020    
EBlowR9Phi_8TeVsmear          0.0000     0.0003     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0030     0.0000    
EElowR9_8TeVsmear             0.0000     0.0003     0.0000    
EEhighR9_8TeVsmear            0.0000     0.0018     0.0000    
MaterialEBCentral_scale       0.0004     0.0155     0.0003    
MaterialEBOuterEE_scale       0.0003     0.0091     0.0009    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 0
proc zh
EBlowR9_8TeVscale             0.0001     0.0006     0.0021    
EBhighR9_8TeVscale            0.0003     0.0092     0.0021    
EElowR9_8TeVscale             0.0000     0.0000     0.0000    
EEhighR9_8TeVscale            0.0000     0.0000     0.0000    
EBlowR9_8TeVsmear             0.0000     0.0017     0.0021    
