# photonCat                   mean_change    sigma_change    rate_change
diphotonCat 0
proc ggh
EBhighR9_8TeVsmear            0.0000     0.0075     0.0000    
EBlowR9Phi_8TeVsmear          0.0000     0.0008     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0022     0.0000    
EElowR9_8TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_8TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0004     0.0096     0.0023    
MaterialEBOuterEE_scale       0.0002     0.0134     0.0011    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 0
proc tth
EBlowR9_8TeVscale             0.0001     0.0024     0.0006    
EBhighR9_8TeVscale            0.0003     0.0117     0.0012    
EElowR9_8TeVscale             0.0000     0.0007     0.0000    
EEhighR9_8TeVscale            0.0000     0.0012     0.0000    
EBlowR9_8TeVsmear             0.0000     0.0060     0.0013    
EBhighR9_8TeVsmear            0.0000     0.0196     0.0005    
EBlowR9Phi_8TeVsmear          0.0000     0.0006     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0011     0.0000    
EElowR9_8TeVsmear             0.0000     0.0007     0.0000    
EEhighR9_8TeVsmear            0.0000     0.0018     0.0000    
MaterialEBCentral_scale       0.0004     0.0089     0.0007    
MaterialEBOuterEE_scale       0.0002     0.0033     0.0011    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000


diphotonCat 1
proc ggh
EBlowR9_8TeVscale             0.0001     0.0006     0.0001    
EBhighR9_8TeVscale            0.0004     0.0013     0.0002    
EElowR9_8TeVscale             0.0000     0.0000     0.0000    
EEhighR9_8TeVscale            0.0000     0.0003     0.0000    
EBlowR9_8TeVsmear             0.0000     0.0051     0.0001    
EBhighR9_8TeVsmear            0.0000     0.0173     0.0002    
EBlowR9Phi_8TeVsmear          0.0000     0.0002     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0005     0.0000    
EElowR9_8TeVsmear             0.0000     0.0004     0.0000    
EEhighR9_8TeVsmear            0.0000     0.0004     0.0000    
MaterialEBCentral_scale       0.0004     0.0016     0.0001    
MaterialEBOuterEE_scale       0.0002     0.0012     0.0001    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 1
proc vbf
EBlowR9_8TeVscale             0.0002     0.0022     0.0003    
EBhighR9_8TeVscale            0.0003     0.0028     0.0001    
EElowR9_8TeVscale             0.0000     0.0009     0.0004    
EEhighR9_8TeVscale            0.0001     0.0024     0.0002    
EBlowR9_8TeVsmear             0.0000     0.0064     0.0002    
EBhighR9_8TeVsmear            0.0000     0.0136     0.0005    
EBlowR9Phi_8TeVsmear          0.0000     0.0006     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0008     0.0000    
EElowR9_8TeVsmear             0.0000     0.0013     0.0001    
EEhighR9_8TeVsmear            0.0000     0.0014     0.0001    
MaterialEBCentral_scale       0.0003     0.0058     0.0002    
MaterialEBOuterEE_scale       0.0004     0.0090     0.0003    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 1
proc wh
EBlowR9_8TeVscale             0.0002     0.0051     0.0008    
EBhighR9_8TeVscale            0.0004     0.0060     0.0006    
EElowR9_8TeVscale             0.0000     0.0011     0.0004    
EEhighR9_8TeVscale            0.0001     0.0024     0.0002    
EBlowR9_8TeVsmear             0.0000     0.0069     0.0002    
EBhighR9_8TeVsmear            0.0000     0.0218     0.0011    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0015     0.0002    
EElowR9_8TeVsmear             0.0000     0.0009     0.0001    
EEhighR9_8TeVsmear            0.0000     0.0017     0.0000    
MaterialEBCentral_scale       0.0004     0.0050     0.0002    
MaterialEBOuterEE_scale       0.0004     0.0060     0.0009    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 1
proc zh
EBlowR9_8TeVscale             0.0002     0.0048     0.0003    
EBhighR9_8TeVscale            0.0003     0.0049     0.0005    
EElowR9_8TeVscale             0.0000     0.0007     0.0002    
EEhighR9_8TeVscale            0.0001     0.0005     0.0003    
EBlowR9_8TeVsmear             0.0000     0.0039     0.0003    
EBhighR9_8TeVsmear            0.0000     0.0153     0.0007    
EBlowR9Phi_8TeVsmear          0.0000     0.0004     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0027     0.0002    
EElowR9_8TeVsmear             0.0000     0.0002     0.0002    
EEhighR9_8TeVsmear            0.0000     0.0007     0.0000    
MaterialEBCentral_scale       0.0003     0.0053     0.0003    
MaterialEBOuterEE_scale       0.0004     0.0101     0.0004    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 1
proc tth
EBlowR9_8TeVscale             0.0002     0.0018     0.0006    
EBhighR9_8TeVscale            0.0004     0.0020     0.0003    
EElowR9_8TeVscale             0.0000     0.0004     0.0002    
EEhighR9_8TeVscale            0.0001     0.0004     0.0005    
EBlowR9_8TeVsmear             0.0000     0.0062     0.0004    
EBhighR9_8TeVsmear            0.0000     0.0143     0.0006    
EBlowR9Phi_8TeVsmear          0.0000     0.0001     0.0001    
EBhighR9Phi_8TeVsmear         0.0000     0.0014     0.0000    
EElowR9_8TeVsmear             0.0000     0.0005     0.0000    
EEhighR9_8TeVsmear            0.0000     0.0024     0.0001    
MaterialEBCentral_scale       0.0004     0.0020     0.0005    
MaterialEBOuterEE_scale       0.0004     0.0023     0.0006    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000


diphotonCat 2
proc ggh
EBlowR9_8TeVscale             0.0002     0.0032     0.0001    
EBhighR9_8TeVscale            0.0003     0.0047     0.0001    
EElowR9_8TeVscale             0.0000     0.0001     0.0000    
EEhighR9_8TeVscale            0.0001     0.0006     0.0001    
EBlowR9_8TeVsmear             0.0000     0.0069     0.0001    
EBhighR9_8TeVsmear            0.0000     0.0152     0.0002    
EBlowR9Phi_8TeVsmear          0.0000     0.0001     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0004     0.0000    
EElowR9_8TeVsmear             0.0000     0.0008     0.0000    
EEhighR9_8TeVsmear            0.0000     0.0014     0.0000    
MaterialEBCentral_scale       0.0004     0.0045     0.0001    
MaterialEBOuterEE_scale       0.0004     0.0054     0.0001    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 2
proc vbf
EBlowR9_8TeVscale             0.0002     0.0023     0.0003    
EBhighR9_8TeVscale            0.0003     0.0034     0.0000    
EElowR9_8TeVscale             0.0001     0.0010     0.0002    
EEhighR9_8TeVscale            0.0002     0.0030     0.0007    
EBlowR9_8TeVsmear             0.0000     0.0092     0.0005    
EBhighR9_8TeVsmear            0.0000     0.0098     0.0004    
EBlowR9Phi_8TeVsmear          0.0000     0.0003     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0005     0.0001    
EElowR9_8TeVsmear             0.0000     0.0036     0.0003    
EEhighR9_8TeVsmear            0.0000     0.0026     0.0003    
MaterialEBCentral_scale       0.0003     0.0009     0.0001    
MaterialEBOuterEE_scale       0.0007     0.0007     0.0003    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 2
proc wh
EBlowR9_8TeVscale             0.0002     0.0046     0.0002    
EBhighR9_8TeVscale            0.0003     0.0060     0.0007    
EElowR9_8TeVscale             0.0001     0.0009     0.0004    
EEhighR9_8TeVscale            0.0003     0.0024     0.0008    
EBlowR9_8TeVsmear             0.0000     0.0089     0.0000    
EBhighR9_8TeVsmear            0.0000     0.0109     0.0005    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0010     0.0001    
EElowR9_8TeVsmear             0.0000     0.0038     0.0001    
EEhighR9_8TeVsmear            0.0000     0.0051     0.0004    
MaterialEBCentral_scale       0.0003     0.0060     0.0003    
MaterialEBOuterEE_scale       0.0008     0.0078     0.0006    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 2
proc zh
EBlowR9_8TeVscale             0.0002     0.0045     0.0011    
EBhighR9_8TeVscale            0.0003     0.0054     0.0007    
EElowR9_8TeVscale             0.0001     0.0027     0.0001    
EEhighR9_8TeVscale            0.0003     0.0007     0.0008    
EBlowR9_8TeVsmear             0.0000     0.0054     0.0009    
EBhighR9_8TeVsmear            0.0000     0.0097     0.0001    
EBlowR9Phi_8TeVsmear          0.0000     0.0004     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0002     0.0002    
EElowR9_8TeVsmear             0.0000     0.0038     0.0003    
EEhighR9_8TeVsmear            0.0000     0.0036     0.0001    
MaterialEBCentral_scale       0.0003     0.0051     0.0004    
MaterialEBOuterEE_scale       0.0008     0.0074     0.0015    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 2
proc tth
EBlowR9_8TeVscale             0.0002     0.0053     0.0005    
EBhighR9_8TeVscale            0.0003     0.0039     0.0003    
EElowR9_8TeVscale             0.0001     0.0013     0.0005    
EEhighR9_8TeVscale            0.0002     0.0025     0.0010    
EBlowR9_8TeVsmear             0.0000     0.0060     0.0011    
EBhighR9_8TeVsmear            0.0000     0.0139     0.0012    
EBlowR9Phi_8TeVsmear          0.0000     0.0006     0.0001    
EBhighR9Phi_8TeVsmear         0.0000     0.0008     0.0002    
EElowR9_8TeVsmear             0.0000     0.0034     0.0002    
EEhighR9_8TeVsmear            0.0000     0.0020     0.0002    
MaterialEBCentral_scale       0.0003     0.0045     0.0012    
MaterialEBOuterEE_scale       0.0007     0.0101     0.0005    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000


diphotonCat 3
proc ggh
EBlowR9_8TeVscale             0.0003     0.0013     0.0002    
EBhighR9_8TeVscale            0.0002     0.0022     0.0001    
EElowR9_8TeVscale             0.0001     0.0009     0.0001    
EEhighR9_8TeVscale            0.0004     0.0043     0.0001    
EBlowR9_8TeVsmear             0.0000     0.0070     0.0000    
EBhighR9_8TeVsmear            0.0000     0.0086     0.0001    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0003     0.0000    
EElowR9_8TeVsmear             0.0000     0.0062     0.0001    
EEhighR9_8TeVsmear            0.0000     0.0061     0.0000    
MaterialEBCentral_scale       0.0002     0.0026     0.0000    
MaterialEBOuterEE_scale       0.0010     0.0028     0.0003    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 3
proc vbf
EBlowR9_8TeVscale             0.0003     0.0028     0.0003    
EBhighR9_8TeVscale            0.0002     0.0022     0.0001    
EElowR9_8TeVscale             0.0002     0.0010     0.0003    
EEhighR9_8TeVscale            0.0005     0.0044     0.0006    
EBlowR9_8TeVsmear             0.0000     0.0051     0.0005    
EBhighR9_8TeVsmear            0.0000     0.0052     0.0003    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0001    
EBhighR9Phi_8TeVsmear         0.0000     0.0002     0.0000    
EElowR9_8TeVsmear             0.0000     0.0069     0.0006    
EEhighR9_8TeVsmear            0.0000     0.0061     0.0003    
MaterialEBCentral_scale       0.0002     0.0019     0.0003    
MaterialEBOuterEE_scale       0.0013     0.0032     0.0003    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 3
proc wh
EBlowR9_8TeVscale             0.0003     0.0012     0.0008    
EBhighR9_8TeVscale            0.0002     0.0022     0.0008    
EElowR9_8TeVscale             0.0002     0.0027     0.0004    
EEhighR9_8TeVscale            0.0006     0.0092     0.0004    
EBlowR9_8TeVsmear             0.0000     0.0049     0.0003    
EBhighR9_8TeVsmear            0.0000     0.0039     0.0010    
EBlowR9Phi_8TeVsmear          0.0000     0.0004     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0001     0.0001    
EElowR9_8TeVsmear             0.0000     0.0087     0.0003    
EEhighR9_8TeVsmear            0.0000     0.0126     0.0007    
MaterialEBCentral_scale       0.0002     0.0044     0.0003    
MaterialEBOuterEE_scale       0.0014     0.0080     0.0007    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 3
proc zh
EBlowR9_8TeVscale             0.0002     0.0025     0.0006    
EBhighR9_8TeVscale            0.0002     0.0029     0.0006    
EElowR9_8TeVscale             0.0002     0.0014     0.0008    
EEhighR9_8TeVscale            0.0005     0.0050     0.0006    
EBlowR9_8TeVsmear             0.0000     0.0053     0.0008    
EBhighR9_8TeVsmear            0.0000     0.0036     0.0005    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0001     0.0000    
EElowR9_8TeVsmear             0.0000     0.0057     0.0008    
EEhighR9_8TeVsmear            0.0000     0.0097     0.0002    
MaterialEBCentral_scale       0.0002     0.0043     0.0001    
MaterialEBOuterEE_scale       0.0013     0.0053     0.0013    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 3
proc tth
EBlowR9_8TeVscale             0.0003     0.0028     0.0007    
EBhighR9_8TeVscale            0.0002     0.0008     0.0003    
EElowR9_8TeVscale             0.0002     0.0034     0.0006    
EEhighR9_8TeVscale            0.0004     0.0033     0.0008    
EBlowR9_8TeVsmear             0.0000     0.0044     0.0003    
EBhighR9_8TeVsmear            0.0000     0.0053     0.0002    
EBlowR9Phi_8TeVsmear          0.0000     0.0003     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0000     0.0000    
EElowR9_8TeVsmear             0.0000     0.0080     0.0002    
EEhighR9_8TeVsmear            0.0000     0.0044     0.0002    
MaterialEBCentral_scale       0.0002     0.0039     0.0003    
MaterialEBOuterEE_scale       0.0011     0.0027     0.0009    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000


diphotonCat 4
proc ggh
EBlowR9_8TeVscale             0.0003     0.0009     0.0002    
EBhighR9_8TeVscale            0.0001     0.0004     0.0001    
EElowR9_8TeVscale             0.0003     0.0007     0.0001    
EEhighR9_8TeVscale            0.0006     0.0026     0.0001    
EBlowR9_8TeVsmear             0.0000     0.0031     0.0001    
EBhighR9_8TeVsmear            0.0000     0.0018     0.0001    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0000     0.0000    
EElowR9_8TeVsmear             0.0000     0.0083     0.0001    
EEhighR9_8TeVsmear            0.0000     0.0056     0.0001    
MaterialEBCentral_scale       0.0002     0.0004     0.0000    
MaterialEBOuterEE_scale       0.0015     0.0038     0.0006    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 4
proc vbf
EBlowR9_8TeVscale             0.0002     0.0015     0.0006    
EBhighR9_8TeVscale            0.0001     0.0012     0.0001    
EElowR9_8TeVscale             0.0004     0.0011     0.0007    
EEhighR9_8TeVscale            0.0007     0.0010     0.0009    
EBlowR9_8TeVsmear             0.0000     0.0030     0.0007    
EBhighR9_8TeVsmear            0.0000     0.0016     0.0005    
EBlowR9Phi_8TeVsmear          0.0000     0.0001     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0001     0.0001    
EElowR9_8TeVsmear             0.0000     0.0076     0.0004    
EEhighR9_8TeVsmear            0.0000     0.0046     0.0007    
MaterialEBCentral_scale       0.0001     0.0015     0.0003    
MaterialEBOuterEE_scale       0.0016     0.0008     0.0012    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 4
proc wh
EBlowR9_8TeVscale             0.0002     0.0007     0.0002    
EBhighR9_8TeVscale            0.0001     0.0015     0.0004    
EElowR9_8TeVscale             0.0004     0.0048     0.0001    
EEhighR9_8TeVscale            0.0007     0.0025     0.0007    
EBlowR9_8TeVsmear             0.0000     0.0040     0.0004    
EBhighR9_8TeVsmear            0.0000     0.0033     0.0002    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0001     0.0000    
EElowR9_8TeVsmear             0.0000     0.0133     0.0007    
EEhighR9_8TeVsmear            0.0000     0.0082     0.0003    
MaterialEBCentral_scale       0.0001     0.0003     0.0005    
MaterialEBOuterEE_scale       0.0017     0.0033     0.0004    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 4
proc zh
EBlowR9_8TeVscale             0.0002     0.0011     0.0008    
EBhighR9_8TeVscale            0.0001     0.0008     0.0006    
EElowR9_8TeVscale             0.0004     0.0020     0.0008    
EEhighR9_8TeVscale            0.0007     0.0062     0.0012    
EBlowR9_8TeVsmear             0.0000     0.0044     0.0005    
EBhighR9_8TeVsmear            0.0000     0.0015     0.0003    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0000     0.0000    
EElowR9_8TeVsmear             0.0000     0.0056     0.0008    
EEhighR9_8TeVsmear            0.0000     0.0070     0.0008    
MaterialEBCentral_scale       0.0001     0.0009     0.0004    
MaterialEBOuterEE_scale       0.0016     0.0077     0.0015    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 4
proc tth
EBlowR9_8TeVscale             0.0003     0.0025     0.0002    
EBhighR9_8TeVscale            0.0001     0.0017     0.0002    
EElowR9_8TeVscale             0.0003     0.0035     0.0004    
EEhighR9_8TeVscale            0.0004     0.0011     0.0006    
EBlowR9_8TeVsmear             0.0000     0.0028     0.0006    
EBhighR9_8TeVsmear            0.0000     0.0027     0.0001    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0003     0.0000    
EElowR9_8TeVsmear             0.0000     0.0097     0.0004    
EEhighR9_8TeVsmear            0.0000     0.0050     0.0001    
MaterialEBCentral_scale       0.0002     0.0017     0.0005    
MaterialEBOuterEE_scale       0.0012     0.0034     0.0010    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000


diphotonCat 5
proc ggh
EBlowR9_8TeVscale             0.0002     0.0055     0.0006    
EBhighR9_8TeVscale            0.0003     0.0050     0.0005    
EElowR9_8TeVscale             0.0000     0.0006     0.0000    
EEhighR9_8TeVscale            0.0001     0.0022     0.0001    
EBlowR9_8TeVsmear             0.0000     0.0054     0.0016    
EBhighR9_8TeVsmear            0.0000     0.0127     0.0004    
EBlowR9Phi_8TeVsmear          0.0000     0.0002     0.0006    
EBhighR9Phi_8TeVsmear         0.0000     0.0014     0.0000    
EElowR9_8TeVsmear             0.0000     0.0018     0.0005    
EEhighR9_8TeVsmear            0.0000     0.0017     0.0001    
MaterialEBCentral_scale       0.0004     0.0046     0.0011    
MaterialEBOuterEE_scale       0.0004     0.0134     0.0009    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 5
proc vbf
EBlowR9_8TeVscale             0.0002     0.0046     0.0002    
EBhighR9_8TeVscale            0.0003     0.0050     0.0006    
EElowR9_8TeVscale             0.0000     0.0005     0.0001    
EEhighR9_8TeVscale            0.0001     0.0022     0.0004    
EBlowR9_8TeVsmear             0.0000     0.0083     0.0006    
EBhighR9_8TeVsmear            0.0000     0.0153     0.0006    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0010     0.0002    
EElowR9_8TeVsmear             0.0000     0.0013     0.0003    
EEhighR9_8TeVsmear            0.0000     0.0036     0.0002    
MaterialEBCentral_scale       0.0003     0.0046     0.0003    
MaterialEBOuterEE_scale       0.0004     0.0070     0.0010    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 5
proc wh
EBlowR9_8TeVscale             0.0002     0.0318     0.0000    
EBhighR9_8TeVscale            0.0006     0.0362     0.0000    
EElowR9_8TeVscale             0.0001     0.0000     0.0000    
EEhighR9_8TeVscale            0.0001     0.0156     0.0000    
EBlowR9_8TeVsmear             0.0000     0.0000     0.0000    
EBhighR9_8TeVsmear            0.0001     0.0362     0.0000    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0000     0.0000    
EElowR9_8TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_8TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0008     0.0425     0.0000    
MaterialEBOuterEE_scale       0.0003     0.0156     0.0000    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 5
proc zh
EBlowR9_8TeVscale             0.0000     0.0000     0.0000    
EBhighR9_8TeVscale            0.0010     0.0320     0.0000    
EElowR9_8TeVscale             0.0000     0.0000     0.0000    
EEhighR9_8TeVscale            0.0000     0.0000     0.0000    
EBlowR9_8TeVsmear             0.0000     0.0000     0.0000    
EBhighR9_8TeVsmear            0.0007     0.0320     0.0000    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0000     0.0000    
EElowR9_8TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_8TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0010     0.0320     0.0000    
MaterialEBOuterEE_scale       0.0000     0.0000     0.0000    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 5
proc tth
EBlowR9_8TeVscale             0.0002     0.0038     0.0000    
EBhighR9_8TeVscale            0.0005     0.0273     0.0000    
EElowR9_8TeVscale             0.0000     0.0000     0.0000    
EEhighR9_8TeVscale            0.0000     0.0000     0.0000    
EBlowR9_8TeVsmear             0.0001     0.0000     0.0000    
EBhighR9_8TeVsmear            0.0002     0.0133     0.0080    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0000     0.0000    
EElowR9_8TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_8TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0004     0.0199     0.0000    
MaterialEBOuterEE_scale       0.0004     0.0445     0.0077    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000


diphotonCat 6
proc ggh
EBlowR9_8TeVscale             0.0002     0.0005     0.0008    
EBhighR9_8TeVscale            0.0003     0.0086     0.0008    
EElowR9_8TeVscale             0.0000     0.0002     0.0006    
EEhighR9_8TeVscale            0.0001     0.0018     0.0007    
EBlowR9_8TeVsmear             0.0000     0.0078     0.0008    
EBhighR9_8TeVsmear            0.0000     0.0215     0.0022    
EBlowR9Phi_8TeVsmear          0.0000     0.0003     0.0005    
EBhighR9Phi_8TeVsmear         0.0000     0.0015     0.0003    
EElowR9_8TeVsmear             0.0000     0.0010     0.0012    
EEhighR9_8TeVsmear            0.0000     0.0046     0.0005    
MaterialEBCentral_scale       0.0003     0.0071     0.0012    
MaterialEBOuterEE_scale       0.0004     0.0098     0.0019    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 6
proc vbf
EBlowR9_8TeVscale             0.0003     0.0035     0.0005    
EBhighR9_8TeVscale            0.0003     0.0034     0.0008    
EElowR9_8TeVscale             0.0001     0.0010     0.0009    
EEhighR9_8TeVscale            0.0002     0.0016     0.0014    
EBlowR9_8TeVsmear             0.0000     0.0084     0.0010    
EBhighR9_8TeVsmear            0.0000     0.0136     0.0011    
EBlowR9Phi_8TeVsmear          0.0000     0.0003     0.0001    
EBhighR9Phi_8TeVsmear         0.0000     0.0008     0.0002    
EElowR9_8TeVsmear             0.0000     0.0024     0.0002    
EEhighR9_8TeVsmear            0.0000     0.0020     0.0004    
MaterialEBCentral_scale       0.0003     0.0020     0.0009    
MaterialEBOuterEE_scale       0.0006     0.0022     0.0019    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 6
proc wh
EBlowR9_8TeVscale             0.0002     0.0062     0.0000    
EBhighR9_8TeVscale            0.0003     0.0016     0.0000    
EElowR9_8TeVscale             0.0001     0.0047     0.0084    
EEhighR9_8TeVscale            0.0001     0.0131     0.0000    
EBlowR9_8TeVsmear             0.0000     0.0109     0.0000    
EBhighR9_8TeVsmear            0.0001     0.0370     0.0084    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_8TeVsmear         0.0000     0.0000     0.0000    
EElowR9_8TeVsmear             0.0001     0.0047     0.0084    
EEhighR9_8TeVsmear            0.0000     0.0131     0.0000    
MaterialEBCentral_scale       0.0002     0.0414     0.0000    
MaterialEBOuterEE_scale       0.0005     0.0649     0.0000    
NonLinearity_8TeVscale        0.0010     0.0000     0.0000

diphotonCat 6
proc zh
EBlowR9_8TeVscale             0.0001     0.0000     0.0000    
EBhighR9_8TeVscale            0.0002     0.0090     0.0000    
EElowR9_8TeVscale             0.0001     0.0000     0.0000    
EEhighR9_8TeVscale            0.0001     0.0000     0.0000    
EBlowR9_8TeVsmear             0.0001     0.0000     0.0000    
EBhighR9_8TeVsmear            0.0001     0.0090     0.0000    
EBlowR9Phi_8TeVsmear          0.0000     0.0000     0.0000    
